年月日,2330 台積電,2317 鴻海,1303 南亞,1301 台塑,1326 台化,2308 台達電,1216 統一,2002 中鋼,2311 日月光,2105 正新
1995/1/26,-10.1912,-23.5808,-14.8439,-9.7344,-3.6951,-13.072,-14.1379,-16.3077,-13.8121,-15.4206
1995/2/28,9.9291,4.5717,0.9173,2.9413,-4.3165,4.5113,0.4015,2.2062,10.8972,1.6574
1995/3/31,21.2904,24.59,3.6365,2.857,-2.5063,12.2307,7,-2.1584,17.9193,-1.3588
1995/4/29,-7.4468,0.877,-7.0175,-5.5555,-12.3396,-12.1795,-12.3366,-10.6618,1.4706,-8.2644
1995/5/31,7.4716,1.739,-0.7016,-0.0044,-9.8301,-14.5986,-3.1982,-0.8231,-1.449,-4.8049
1995/6/30,20.8021,0.4272,-3.6892,-5.0099,-10.6311,6.8377,-5.0659,-3.3195,0,0.631
1995/7/31,-17.9285,-19.9999,4.5314,2.3357,0.1651,-23.584,-2.5754,-4.2919,-21.3333,6.3166
1995/8/31,2.4269,4.2554,0.0001,2.2883,1.9762,-11.3065,-1.5479,-5.8297,-10.1694,8.4212
1995/9/30,-7.1091,21.4285,-1.0753,-2.2373,0.7751,19.2636,1.5724,2.3811,18.8679,3.2361
1995/10/30,-14.2858,-2.9413,-15.2174,-12.1284,-13.846,-9.501,-6.8113,-0.9304,-8.7301,-3.4484
1995/11/30,-1.1906,-20.2564,2.5641,1.0419,0.4466,2.3624,-0.9967,-6.8246,-4.3479,-6.169
1995/12/30,2.4095,18.5486,3.5,5.4124,6.222,7.6924,10.4029,18.3785,20.9091,10.3805
1996/1/31,-9.9999,-15.6463,-5.3139,-4.6455,-3.7658,-9.5239,-6.383,-8.6756,-0.7518,-5.956
1996/2/29,1.3073,-20.9677,3.3161,2.8205,0.4349,-0.5264,2.9222,0.9999,-0.7578,2.6666
1996/3/28,-3.2259,8.1634,5.4321,9.7257,18.6146,-3.1745,5.9936,4.4555,-9.9236,7.1426
1996/4/30,37.3332,15.0942,5.1523,3.4089,-5.4745,28.4154,18.75,20.853,33.8985,13.6362
1996/5/31,-1.2622,1.6392,2.3068,6.1769,8.1081,15.9576,-3.0076,3.1373,8.456,-0.5333
1996/6/29,2.6548,21.7741,43.1769,50.7431,39.8622,13.7616,30.4908,8.3651,-5.4621,41.5812
1996/7/30,-12.9313,5.298,-11.1486,-12.4648,-17.6917,-1.4437,-5.9406,-8.0703,-14.4445,-10.0419
1996/8/31,8.9108,15.0941,2.941,5.3096,13.8515,3.9604,4.8422,3.0536,0.2597,-9.5348
1996/9/30,-2.7272,13.1146,0,2.521,-1.7806,12.3809,-0.2408,-5.185,10.8809,5.9124
1996/10/30,-0.9345,15.9423,0.9525,1.6392,0.9064,9.322,-6.5217,-4.2967,-7.243,-4.8542
1996/11/30,10.3775,4.3748,21.6982,10.4838,23.054,12.4031,10.5944,9.7143,22.1664,8.1632
1996/12/31,-3.4188,-2.3954,1.55,0.7297,2.92,-0.6898,0.0003,0.7812,9.2782,0.7075
1997/1/31,0.0001,-1.2269,-0.0001,2.8987,3.0736,25.0002,7.0094,-1.5504,29.2453,-0.7026
1997/2/28,10.6195,23.6025,0.7633,4.2252,1.835,9.9998,6.3321,5.3247,2.1898,0.9434
1997/3/31,12.8002,35.1759,-6.0605,-6.0812,-11.036,26.7677,-5.3387,1.1497,42.8569,-7.9438
1997/4/30,33.3333,20.4459,18.5484,-0.7194,1.266,13.5457,6.2907,12.1215,19.9999,4.5685
1997/5/31,26.5961,-1.2345,1.3606,3.5995,-2.0001,3.8597,4.0815,1.3515,-1.1001,9.2233
1997/6/30,55.6722,28.1246,10.2984,3.5886,3.9368,16.2161,7.8432,-2.0001,22.6745,61.9277
1997/7/31,25.5058,80.2934,4.1481,-0.7463,3.5001,22.4415,-0.9092,10.2043,25.1184,-10.6059
1997/8/30,3.871,1.5154,-2.6315,-6.0151,-7.1783,14.857,1.2843,-9.5681,16.6666,17.7965
1997/9/30,-14.907,-19.7761,-7.4326,-7.1999,-6.1333,-18.4078,-8.0434,-7.8498,-14.2857,-13.669
1997/10/30,-28.8321,-39.0698,-27.5915,-15.1724,-19.0342,-39.939,-16.0754,-12.2221,-31.8182,-32.6666
1997/11/28,23.0773,37.4044,4.8388,6.7073,7.0176,45.178,9.2958,-0.4218,27.7778,22.5247
1997/12/31,-6.6668,-8.3333,8.6539,20.9523,27.2132,-9.0909,0.2578,4.2373,-0.4348,-5.4548
1998/1/22,4.9108,13.9395,5.3098,5.5118,2.5773,9.2307,-2.828,1.4633,14.847,-7.0513
1998/2/27,42.1275,18.6173,5.8824,-1.4926,-6.0302,19.0141,1.3227,-0.0001,38.403,14.023
1998/3/31,-2.9941,-11.6591,-7.1428,-6.8181,-3.2088,-12.722,0.5223,1.3825,0.0001,10.8872
1998/4/30,-12.0371,-2.538,-6.8378,-8.1299,-6.0774,-17.9661,-10.13,-5.4543,-0.7693,-11.8182
1998/5/29,-14.7369,1.0416,-6.422,-0.885,-7.0589,5.3718,-6.0694,-1.4423,-23.8096,-6.1855
1998/6/30,-15.2676,-10.3091,-8.6275,-4.3216,-9.4937,-9.8036,-4.6155,2.4392,-26.8752,-5.0549
1998/7/31,9.8592,31.0348,-0.8263,-4.6808,-5.5942,26.7908,-4.7741,-2.8572,14.5301,12.7316
1998/8/31,-21.154,0.7015,-21.5191,-18.0803,-24.074,-16.6666,-6.504,-2.9411,-25.3731,-19.7128
1998/9/30,7.317,-6.7071,14.1934,20.1635,16.5767,-9.4999,5.2174,3.5353,8,0.2557
1998/10/31,2.2727,7.8432,15.2544,11.5646,5.023,9.9448,15.2892,7.8047,4.6297,10.7141
1998/11/30,16.2962,6.6666,18.1374,7.7237,17.8261,6.5327,8.602,-4.5251,15.9291,5.2903
1998/12/31,-9.5542,1.1361,-12.3147,-11.6981,0.0001,-2.3584,-5.6107,-8.0568,-17.5573,-6.6178
1999/1/30,18.3098,-3.3707,-1.687,-4.8535,-11.07,-17.8745,-14.6854,-12.3712,12.9627,-10.4987
1999/2/26,5.3572,-6.9766,2.4511,2.0456,9.9584,-5.8824,-0.4098,8.2355,11.4753,4.399
1999/3/31,17.5142,10.6251,16.507,21.3811,18.113,10.6249,6.5845,17.9347,14.7059,5.337
1999/4/30,6.25,0.5652,6.7763,6.422,23.9615,31.0734,17.3746,19.8155,4.4872,2.1333
1999/5/31,5.8825,15.7302,-8.4615,-4.3104,-12.1134,13.7932,-12.829,-4.5912,1.2269,-9.9216
1999/6/30,29.8332,41.7477,13.6212,23.9639,16.914,35.6063,-3.9358,14.0187,32.1213,8.9854
1999/7/31,-10.1215,-19.9315,-11.4075,-16.6031,-23.1878,-13.4418,-2.8571,-10.6558,-20.7835,-11.7994
1999/8/31,21.6217,23.9522,22.9509,15.0942,9.9658,1.569,2.6052,13.7615,22.436,10.3333
1999/9/30,-1.1111,0.4831,-3.8094,0.8197,-5,-8.1082,-7.2073,4.0322,-5.2356,-12.3869
1999/10/30,8.6142,7.2115,13.8612,4.0649,21.3815,11.3446,0.9707,-6.2015,11.0496,1.3792
1999/11/30,2.4139,1.3454,6.0868,-7.8124,1.8967,-4.151,4.327,-7.0248,-3.4828,-5.4419
1999/12/28,12.4578,3.5398,13.1148,5.9321,5.3192,7.0866,14.2857,3.1114,15.4638,-3.5972
2000/1/31,21.5568,6.4102,7.2463,10.4001,25.7576,16.9119,7.2577,10.7758,5.3572,13.0594
2000/2/29,-0.9852,14.8596,-8.108,-2.1739,-7.6304,-6.9182,6.0152,-7.3929,-13.1357,-5.2805
2000/3/31,1.9901,23.4263,3.6765,1.4815,3.0436,12.8381,-8.5104,-7.9831,12.195,-2.4392
2000/4/29,-4.8781,-18.4137,-9.2198,-8.0293,-13.2911,-11.3775,-16.6668,-0.9131,-16.9567,-3.2143
2000/5/31,3.0564,-2.0833,5.469,1.5876,8.0652,-0.6758,10.2329,5.0693,-1.5706,-5.1661
2000/6/30,-7.0066,-1.4186,-6.6668,-8.0906,-9.8398,-1.0203,-1.2658,-2.2201,0,-22.9571
2000/7/31,-13.0137,13.0591,10.8871,18.397,11.3449,5.7968,13.6752,4.7618,-21.8085,28.9554
2000/8/31,5.9054,-1.6596,-17.6001,-20.6351,-14.8781,-2.0576,-10.3856,-6.3637,2.8741,-19.4915
2000/9/30,-25.6506,-18.9875,-18.0584,-4.3999,-15.7593,-12.605,3.2708,0.0194,-30.2609,24.2107
2000/10/31,-2.0001,-11.9792,-8.7677,7.7406,-14.966,-0.9615,-2.2624,-7.4259,-7.4813,-9.3221
2000/11/30,-8.6735,11.2427,5.1948,-6.602,-5.6001,9.7089,-2.7778,-4.813,-12.1294,-1.402
2000/12/30,-12.2904,-12.234,-8.1482,-3.7423,17.7966,-8.4071,4.7619,11.7978,-32.8222,0.9479
2001/1/31,34.395,28.4848,18.0109,6.6955,11.5111,18.3573,-6.8184,1.5075,58.904,6.573
2001/2/27,-14.692,-5.1887,-7.5171,-1.6193,-3.5485,-5.7141,-2.439,6.4355,-10.0575,0.0001
2001/3/30,-1.6666,-0.0001,-3.9407,-7.819,-6.3544,-0.4329,-5.0001,-9.3023,-5.4311,7.489
2001/4/30,2.825,-3.9801,-7.4359,-8.2591,-8.5715,-13.0435,-11.0524,-2.0512,-13.5135,-9.0164
2001/5/31,-1.6483,-1.5546,1.3851,3.6498,10.9374,-24.9999,-14.2013,-4.7121,-4.2967,-4.5046
2001/6/29,0.1119,-4.7368,-1.8951,-5.4401,-5.6957,13.3334,0,-5.4944,-13.4694,2.8304
2001/7/31,3.1249,8.3107,-28.5518,-23.028,-17.0123,2.8673,-12.4139,-12.41,-8.3868,-16.6417
2001/8/31,-3.0303,-17.5926,18.3039,32.7274,22.5,-26.6187,22.385,-7.5191,15.6627,18.0724
2001/9/28,-27.0312,-18.3522,-26.7924,-21.9179,-13.8776,-26.0785,-15,-1.2194,-20.8334,-2.0408
2001/10/31,30.6206,17.4311,-4.6392,-2.1054,-8.0568,1.061,-15.5462,10.6996,15.1316,0.0002
2001/11/30,19.6718,13.2814,8.6488,2.5089,3.6082,22.572,8.4578,-1.8584,35.4283,3.1249
2001/12/31,19.8632,10.3447,33.3331,12.2379,16.9155,29.5505,16.9722,3.409,37.1308,16.6665
2002/1/31,0,10.6252,24.6269,35.5142,43.4044,4.9584,3.1374,22.3443,-12.6154,8.2249
2002/2/27,-6.2857,-9.6045,-4.491,1.3792,5.3413,-15.748,-7.2244,10.1795,-1.0563,-4.0001
2002/3/29,17.683,0.6251,12.226,-3.6284,3.0986,10.2805,9.4264,-11.413,25.9786,0
2002/4/30,-9.3265,-5.59,0.8379,-4.4706,-14.7542,2.5425,-1.1236,-3.0673,-6.7797,9.5835
2002/5/31,-2.2859,1.9736,-9.9721,7.1429,6.4102,-0.8263,4.1668,5.0632,-16.0607,36.502
2002/6/28,-12.5146,-11.9354,-1.5923,-6.3257,-6.6084,-11.2095,-10.9091,3.6147,-19.8556,-13.6489
2002/7/31,-25.7354,17.4214,14.1791,19.2742,18.4209,11.9732,-0.0001,-3.7383,-12.1623,28.3161
2002/8/30,-1.188,-5.7971,-5.9882,-8.0538,-7.2499,-6.1386,-3.6263,2.5808,0,12.4999
2002/9/30,-17.6353,-10.3846,-14.0128,-18.978,-17.7777,-6.5401,-7.3394,-5.6605,-12.3076,-11.8358
2002/10/31,13.1388,7.7254,11.1112,14.7148,20.8492,3.1604,8.4158,24.6665,11.1109,15.3423
2002/11/29,8.6021,3.984,2.6669,12.8276,8.6261,-0.8755,3.1966,3.2087,20.5265,-4.9881
2002/12/31,-15.6436,-8.0461,-2.5975,5.8005,8.2353,-10.3752,-4.4248,0.5181,-10.9171,3.7497
2003/1/28,11.9718,-0.8334,28.6667,1.5352,5.9786,3.9409,14.815,21.1342,-1.9609,13.253
2003/2/27,-11.9496,-5.8823,-10.8809,-5.6156,-11.282,-13.744,-12.4999,-8.0849,-6.5001,-7.0212
2003/3/31,0.7143,-1.3392,-3.779,3.4325,5.4914,7.1427,0.4607,-9.2594,-1.0696,5.4919
2003/4/30,13.0024,-1.3575,-8.7613,-4.8675,-7.9449,-1.2823,-9.1743,-0.5102,-2.7028,-13.8828
2003/5/30,11.925,6.4222,19.5366,5.8139,11.0118,19.4804,7.5758,3.5899,2.2222,14.3578
2003/6/30,6.5418,8.1896,7.1584,8.6332,8.2782,-2.1509,0.0001,18.8121,11.9566,-7.2687
2003/7/31,11.7895,25.0996,8.8266,2.7016,9.6699,15.3285,14.554,7.7964,16.5048,16.5834
2003/8/29,13.5596,8.8611,6.4938,8.1371,13.1979,-5.0633,-1.0742,12.8098,21.4585,-6.0537
2003/9/30,-0.7462,3.5463,-2.4391,-3.7624,4.7085,-1.1113,-0.8547,-5.1282,-0.0001,3.3415
2003/10/31,0.752,4.1099,13.2501,6.996,15.6315,-2.4717,20.6897,5.7914,18.868,9.7
2003/11/28,-5.2238,-13.1579,-0.6624,-2.8848,-3.7037,3.4562,-2.857,-0.3649,0.0001,-3.5789
2003/12/31,0,1.1363,8.8889,10.8912,9.6154,-3.1181,2.5736,3.2963,10.7938,-5.4584
2004/1/30,3.9369,16.1048,-3.0613,-0.8928,-6.1403,1.839,11.111,4.2552,12.6076,3.6951
2004/2/27,-3.788,-4.5161,-5.0527,-2.7027,-0.9345,1.5801,26.4513,15.6465,-4.3256,6.0135
2004/3/31,-5.5117,-3.7164,3.1042,-2.7778,-0.9433,-7.5555,-2.5512,0.294,-6.6492,-0.4203
2004/4/30,-4.1667,-8.0702,-4.0862,-9.5236,-8.5715,-1.6827,-24.3456,-13.1966,-21.3675,-18.3543
2004/5/31,-2.6088,1.9083,-3.3631,-0.6316,-1.6667,8.5574,-1.3842,0,-14.1305,9.3024
2004/6/30,-0.1886,-6.3672,13.2539,10.8092,11.2288,5.0515,5.2632,7.4323,12.2364,4.0188
2004/7/30,-11.3638,-1.9998,2.4831,-0.6315,7.1397,-0.711,-0.0001,4.7332,-12.7819,10.2922
2004/8/31,9.5572,6.3059,3.5241,8.0509,9.4378,4.0572,9.7998,8.5324,13.0325,1.6168
2004/9/30,-7.8724,4.9326,5.319,3.9214,7.3393,8.9449,3.7975,8.4905,-8.8711,-5.4547
2004/10/29,1.1547,5.1285,-6.0605,-2.8301,-3.4188,6.3157,-6.0976,-2.6088,1.77,-4.5672
2004/11/30,7.9908,5.6909,-0.43,0,6.1947,-0.9902,3.2469,5.6548,3.913,0.7557
2004/12/31,6.7654,13.077,4.9679,5.8251,0.8334,12,4.4027,0.8451,0.4184,1.25
2005/1/31,2.9704,-4.7617,-3.7038,1.835,-3.3058,-7.1428,-9.6386,-0.5585,-9.1668,-4.6912
2005/2/25,5.7692,3.2144,1.2821,2.7029,5.9829,4.8076,4.6666,3.9326,12.3853,0.7771
2005/3/31,-6.3637,-3.114,-1.6881,-0.8774,3.5482,-6.2385,-7.0064,-5.0001,-5.1022,-2.4422
2005/4/29,0.7767,6.0714,-3.5407,-4.9558,-0.9347,-2.1526,-3.4247,-8.3926,-10.5377,-6.9829
2005/5/31,9.6339,10.7747,-4.4494,-0.5587,-10.5345,1.7999,0.7092,-4.9691,9.8558,-1.4166
2005/6/30,5.2315,0.0001,8.6145,12.3354,8.0843,5.9211,4.9296,4.5752,3.7195,2.1554
2005/7/29,-3.4484,8.8145,-0.595,-4.4402,-3.3269,12.9198,-3.6913,-0.8105,5.4853,-0.0001
2005/8/31,1.5038,-5.5866,-0.8684,-1.4141,1.1977,-4.3244,-12.4547,5.8053,-10.1999,3.8213
2005/9/30,-1.2962,10.8472,0.0001,-0.4099,-1.1835,6.7798,8.9797,4.7787,10.1983,-18.1543
2005/10/31,-2.4391,-6.1486,-2.378,4.1151,7.1855,-0.3528,-3.3706,-10.642,-8.7054,-10.5359
2005/11/30,14.4231,16.8967,3.4615,-0.593,-1.6761,19.4692,10.0778,-5.104,18.0928,6.6118
2005/12/30,5.042,6.1949,12.0195,0.3977,0.3788,-0.2964,9.8592,-0.3982,24.6377,12.403
2006/1/25,1.6003,19.4442,4.6461,2.5744,-0.566,-1.0401,15.3846,7.9999,-6.8108,-15.5174
2006/2/27,-4.0946,-4.186,-2.5371,-0.5792,-3.0361,16.8168,2.7778,9.4446,-3.7433,-1.8369
2006/3/31,5.4187,-2.4273,4.6637,-1.7477,2.3483,-2.9562,7.0269,2.8765,13.7038,-1.4552
2006/4/28,6.0748,7.7115,-3.4196,0.5928,-0.9558,31.6556,21.4646,2.4671,23.453,7.384
2006/5/30,-11.4537,-4.85,-2.1459,-5.4025,-3.4748,-9.9598,-2.2869,-2.0864,-12.7969,6.8763
2006/6/30,4.1794,-2.9127,4.715,1.973,0.0001,11.6482,20,5.2458,-3.1772,4.2279
2006/7/31,-6.1644,-2.9999,-2.1989,3.1138,5.745,-4.0218,-8.5104,-3.5409,-10.3124,-5.1147
2006/8/31,6.0218,16.2404,6.3757,-0.8851,3.1523,3.6239,-0.2333,1.5207,17.7702,13.0547
2006/9/29,2.7539,8.6256,4.045,5.4686,3.2666,3.8252,15.9364,6.7417,-9.0237,17.1792
2006/10/31,2.1777,6.9478,3.6719,3.492,3.2655,-1.0526,1.7185,3.1581,0.0001,-0.926
2006/11/30,7.377,9.2809,8.5417,8.3843,4.3479,5.7445,6.7568,11.5646,20.9754,6.542
2006/12/29,3.0533,-1.2738,4.2228,2.0755,3.2197,5.6337,2.8481,5.4879,-0.5378,-5.7017
2007/1/31,-0.1483,-3.226,0.0002,2.4029,7.8901,2.3811,-7.6921,-1.7342,1.4865,-0.7753
2007/2/27,2.819,2.2224,3.3148,5.7763,7.9931,-0.4652,7.3333,7.3529,3.9946,0.625
2007/3/30,-2.0202,-3.4783,10.5166,7.1671,0.0001,-0.0001,-1.5526,2.1921,0.5122,-4.0375
2007/4/30,1.1782,-0.2254,-1.9357,1.5925,-2.3625,-2.3363,3.7856,1.3406,-1.9108,11.6503
2007/5/31,-0.7278,5.4177,5.2632,6.1129,9.355,3.3496,-4.5593,1.8521,-1.299,9.5651
2007/6/29,9.2468,21.6274,13.125,23.1906,18.6704,19.9074,4.7772,3.8962,17.7632,11.1111
2007/7/31,-8.3216,-4.2254,7.2907,2.4641,0.7915,8.8796,7.7507,17.4253,-3.9106,38.0952
2007/8/31,-3.5385,9.2119,10.3448,1.2349,5.2353,-5.0191,16.6124,4.186,-9.1628,13.0607
2007/9/29,0.957,0.8166,5.1249,10.8538,4.1044,2.439,34.3792,7.4775,11.026,22.3141
2007/10/31,0.7898,-0.4048,14.9822,9.7911,3.9424,3.1745,-9.6306,-5.296,7.3105,-14.1893
2007/11/30,-5.0155,-16.2602,-13.3405,-12.2244,-5.747,-14.6153,-10.1182,-6.7981,-15.0387,-13.701
2007/12/31,2.3102,-1.9417,2.6251,3.9955,1.2193,0.0002,5.1497,2.353,-1.6642,-3.2847
2008/1/31,-3.387,-16.0891,-25.8138,-19.9782,-20.482,-27.4772,-11.0478,3.4483,-13.6924,-16.415
2008/2/29,2.838,10.9145,16.301,16.7351,15.9092,10.9315,17.0297,4.4445,4.0998,31.8284
2008/3/31,2.4352,-7.4469,1.752,7.9906,3.0065,0.56,-1.4222,2.1274,1.37,5.6506
2008/4/30,5.7052,1.4369,-5.0329,-5.332,-6.0914,1.8929,-3.2186,4.1666,5.7433,-6.1586
2008/5/30,-1.6493,-2.5495,-1.6735,-1.3793,-2.0271,-5.1368,-1.4911,3.9999,1.9169,-10.1901
2008/6/30,-0.9147,-13.0815,-8.5106,-14.6853,-8.2045,-2.6496,-15.0173,-9.9038,-14.4203,-21.0577
2008/7/31,-8.2447,-0.0002,-8.3455,-1.5925,-9.8662,2.2848,12.1919,4.0633,-3.2967,12.424
2008/8/29,4.8043,7.0236,-5.966,-4.9156,1.113,8.1117,-7.4553,-11.8182,-3.9767,7.9458
2008/9/30,-10.866,-17.6497,-5.8408,-17.4475,0.5503,-3.8688,-17.4927,-19.0722,-30.5194,-10.7819
2008/10/31,-8.5712,-28.5715,-1.6043,8.8064,-1.8245,-8.5364,-1.0601,-23.4075,-12.7726,-2.1247
2008/11/28,-15,-19.5,-17.0652,-12.5001,-13.3829,-14,14.1071,-8.1082,-17.5001,-20.217
2008/12/31,8.824,-0.3105,-7.4704,-10.3801,-14.1634,-1.5502,-9.5462,4.525,2.1647,-4.0818
2009/1/21,-9.4593,-8.0995,-6.2324,9.0598,-9.6251,-17.0079,-9.8615,-2.1644,-8.8984,-16.4894
2009/2/27,11.8158,18.1358,0.7553,0.3156,-2.4895,5.6924,0.192,-1.1062,13.4883,23.9916
2009/3/31,14.3492,10.0431,16.3417,7.1278,13.4753,12.0286,5.3639,-0.6709,34.836,12.5001
2009/4/30,7.393,24.6412,12.8866,14.0903,31.5002,15.7049,20.9092,15.3155,8.2066,51.4457
2009/5/27,9.4204,28.661,6.1643,8.0618,2.6617,4.4322,8.4213,8.2029,12.9214,10.1507
2009/6/30,-9.4371,-4.3258,-8.3871,-7.1431,-8.5186,-1.1935,-6.2415,1.8052,-5.7214,-6.5694
2009/7/31,14.2429,11.3303,4.0794,6.3967,8.8326,21.794,0.7396,22.3196,27.7176,23.6326
2009/8/31,0.5092,-1.7698,8.5208,4.9647,12.4756,3.5295,5.9369,-5.6785,-0.6341,10.8271
2009/9/30,8.9524,16.2164,14.7219,10.6419,7.1056,3.9772,11.1437,-0.0001,12.5533,8.2801
2009/10/30,-6.9769,0.775,-0.3805,-3.5113,-0.4854,0.3278,-2.9021,-2.0066,-1.134,0.1472
2009/11/30,1.8334,4.6153,4.0075,1.1076,7.9672,-1.5252,2.446,3.5836,-2.2942,6.7548
2009/12/31,5.5646,11.3969,6.9726,5.321,4.518,10.6192,4.6419,8.7312,12.9158,1.1003
2010/1/29,-4.651,-11.221,2.9159,-1.0402,-0.1439,-3,-13.3081,-1.5152,-11.9584,-16.3264
2010/2/26,-4.3903,-5.5762,5.8332,3.904,4.6177,-3.6083,4.0937,-0.9231,0.3938,0.813
2010/3/31,4.5917,8.2675,2.0474,1.1562,2.4829,7.4866,1.5449,2.0185,13.7253,9.0324
